,album_id,album_name,album_release_date,track_name,track_uri
0,3WLJmMZUeDOuERFAk1Mxs6,Jawan,2023-09-05,Chaleya,{'spotify': 'https://open.spotify.com/track/3xMHXmedL5Rvfxmiar9Ryv'}
1,3WLJmMZUeDOuERFAk1Mxs6,Heeriye (feat. Arijit Singh),2023-07-25,Heeriye (feat. Arijit Singh),{'spotify': 'https://open.spotify.com/track/5PUXKVVVQ74C3gl5vKy9Li'}
2,3WLJmMZUeDOuERFAk1Mxs6,Rocky Aur Rani Kii Prem Kahaani,2023-08-14,"What Jhumka ? (From ""Rocky Aur Rani Kii Prem Kahaani"")",{'spotify': 'https://open.spotify.com/track/7iekl4P95GuphG8x8a3cNT'}
3,3WLJmMZUeDOuERFAk1Mxs6,Zara Hatke Zara Bachke,2023-08-25,"Phir Aur Kya Chahiye (From ""Zara Hatke Zara Bachke"")",{'spotify': 'https://open.spotify.com/track/5Tkf5CbtVYHA1SiKo1NrJE'}
4,3WLJmMZUeDOuERFAk1Mxs6,Brahmastra (Original Motion Picture Soundtrack),2022-10-06,Kesariya,{'spotify': 'https://open.spotify.com/track/4UMIv5jd9gK98a39BQRD9X'}
5,3WLJmMZUeDOuERFAk1Mxs6,Rocky Aur Rani Kii Prem Kahaani,2023-08-14,"Tum Kya Mile (From ""Rocky Aur Rani Kii Prem Kahaani"")",{'spotify': 'https://open.spotify.com/track/38h4tmH1AWBVuemWAy4R4y'}
6,3WLJmMZUeDOuERFAk1Mxs6,Love Forever With Arijit Singh,2017-06-07,"Agar Tum Saath Ho (From ""Tamasha"")",{'spotify': 'https://open.spotify.com/track/2FCXQHugkoHE1K3tiDu8pu'}
7,3WLJmMZUeDOuERFAk1Mxs6,"Tere Pyaar Mein (From ""Tu Jhoothi Main Makkaar"")",2023-02-01,Tere Pyaar Mein,{'spotify': 'https://open.spotify.com/track/2ZD4aIEepqZsdxPxLSuUhm'}
8,3WLJmMZUeDOuERFAk1Mxs6,"O Bedardeya (From ""Tu Jhoothi Main Makkaar"")",2023-03-04,"O Bedardeya (From ""Tu Jhoothi Main Makkaar"")",{'spotify': 'https://open.spotify.com/track/0czcoKJbJt08NqKrvSbbz7'}
9,3WLJmMZUeDOuERFAk1Mxs6,"Tujhe Kitna Chahne Lage (From ""Kabir Singh"")",2019-05-31,"Tujhe Kitna Chahne Lage (From ""Kabir Singh"")",{'spotify': 'https://open.spotify.com/track/2Fv2injs4qAm8mJBGaxVKU'}
